QuantityX	Name	Edition	Foil	Price	List name
2x	Minister of Pain	Dragons of Tarkir		$0.24	Black uncommons
2x	Mischievous Catgeist //  // Catlike Curiosity	Innistrad: Crimson Vow		$0.24	Blue uncommons
1x	Mystic Redaction	Modern Horizons 2		$0.24	Baldurs gate uncommons
1x	Mystic Redaction	Modern Horizons 2		$0.24	Blue uncommons
1x	Nature's Way	Jumpstart		$0.24	Baldurs gate uncommons
2x	Nature's Way	Jumpstart		$0.24	Green uncommons
1x	Nightwind Glider	Mercadian Masques		$0.24	Ezuri
1x	Opt	Core Set 2021		$0.24	Niv
1x	Outland Boar	Aether Revolt		$0.24	Multicolor uncommons
1x	Phalanx Tactics	Theros Beyond Death		$0.24	April 2023
2x	Pinnacle of Rage	Born of the Gods		$0.24	Red uncommons
1x	Port of Karfell	Commander Legends: Battle for Baldur's Gate		$0.24	Captain ngathrod
1x	Power Sink	Mirage		$0.24	Grixis colors
1x	Prophetic Titan	Modern Horizons 2		$0.24	Multicolor uncommons
1x	Quirion Dryad	Core Set 2021		$0.24	Baldurs gate uncommons
1x	Rain of Blades	Magic 2013		$0.24	White uncommons
1x	Rain of Revelation	Core Set 2021		$0.24	Baldurs gate uncommons
1x	Rakdos Firewheeler	Ravnica Allegiance		$0.24	Multicolor uncommons
1x	Rally to Battle	Ravnica Allegiance		$0.24	B/W Commander randoms
1x	Rally to Battle	Ravnica Allegiance		$0.24	Baldurs gate uncommons
2x	Rallying Roar	Ixalan		$0.24	White uncommons
1x	Ravenous Intruder	Aether Revolt		$0.24	Red uncommons
1x	Reduce // Rubble	Amonkhet		$0.24	Multicolor uncommons
1x	Reduce to Memory	Strixhaven: School of Mages		$0.24	B/W Commander randoms
1x	Regenesis	Ravnica Allegiance		$0.24	Baldurs gate uncommons
3x	Regenesis	Ravnica Allegiance		$0.24	Green uncommons
1x	Reject Imperfection	Phyrexia: All Will Be One		$0.24	April 2023
1x	Rending Flame	Innistrad: Crimson Vow		$0.24	April 2023
1x	Resolute Survivors	Hour of Devastation		$0.24	Multicolor uncommons
1x	Restless Bloodseeker //  // Bloodsoaked Reveler	Innistrad: Crimson Vow		$0.24	April 2023
1x	Restless Bloodseeker //  // Bloodsoaked Reveler	Innistrad: Crimson Vow		$0.24	New capenna, strixhaven rares uncommons
1x	Revive	Modern Masters 2017		$0.24	Foil rares and uncommons
1x	Ride Down	Eldritch Moon		$0.24	Multicolor uncommons
1x	Rigging Runner	Ixalan		$0.24	Red uncommons
1x	Rites of Reaping	Return to Ravnica		$0.24	Multicolor uncommons
3x	River Hoopoe	Hour of Devastation		$0.24	Multicolor uncommons
1x	Rolling Temblor	Commander 2019		$0.24	April 2023
1x	Rubblebelt Rioters	War of the Spark		$0.24	Baldurs gate uncommons
1x	Sailors' Bane	Commander Legends: Battle for Baldur's Gate		$0.24	Baldurs gate
1x	Sailors' Bane	Commander Legends: Battle for Baldur's Gate		$0.24	Baldurs gate uncommons
1x	Sand Strangler	Hour of Devastation		$0.24	Red uncommons
1x	Selfless Samurai	Kamigawa: Neon Dynasty		$0.24	Baldurs gate uncommons
1x	Selfless Samurai	Kamigawa: Neon Dynasty		$0.24	Kamigawa and innistrad
1x	Senate Guildmage	Ravnica Allegiance		$0.24	Multicolor uncommons
1x	Serra Angel	Jumpstart		$0.24	White uncommons
1x	Shadowstorm Vizier	Amonkhet		$0.24	Multicolor uncommons
3x	Shapers of Nature	Ixalan		$0.24	Multicolor uncommons
1x	Shatter	Ice Age		$0.24	Old cards
1x	Shessra, Death's Whisper	Adventures in the Forgotten Realms		$0.24	Foil rares and uncommons
1x	Shessra, Death's Whisper	Adventures in the Forgotten Realms		$0.24	Multicolor uncommons
1x	Shipwreck Singer	Theros		$0.24	Multicolor uncommons
1x	Sigiled Starfish	Jumpstart		$0.24	Baldurs gate uncommons
1x	Skyclave Pick-Axe	Zendikar Rising		$0.24	Baldurs gate uncommons
1x	Skyclave Pick-Axe	Zendikar Rising		$0.24	Zendikar
1x	Slice in Twain	Ixalan		$0.24	Green uncommons
2x	Spike Jester	Dragon's Maze		$0.24	Multicolor uncommons
1x	Spike Jester	Modern Masters 2017		$0.24	Modern deck
2x	Spire Patrol	Aether Revolt		$0.24	Multicolor uncommons
1x	Stimulus Package	Streets of New Capenna		$0.24	Baldurs gate uncommons
1x	Stimulus Package	Streets of New Capenna		$0.24	New capenna, strixhaven rares uncommons
1x	Stir the Sands	Amonkhet		$0.24	Black uncommons
1x	Stone Rain	Ice Age		$0.24	Old cards
1x	Storm Fleet Arsonist	Ixalan		$0.24	Red uncommons
3x	Street Spasm	Return to Ravnica		$0.24	Red uncommons
1x	Stromkirk Bloodthief	Innistrad: Midnight Hunt		$0.24	Kamigawa and innistrad
1x	Syndicate Guildmage	Ravnica Allegiance		$0.24	Baldurs gate uncommons
1x	Syndicate Guildmage	Ravnica Allegiance		$0.24	Multicolor uncommons
1x	Syndicate Guildmage	Ravnica Allegiance		$0.24	Vish Kal
1x	Tenacious Hunter	Hour of Devastation		$0.24	Green uncommons
1x	Thunderous Might	Born of the Gods		$0.24	Red uncommons
1x	Tidal Flats	Fallen Empires	Foil	$0.24	Baldurs gate rares
4x	Titan's Strength	Magic Origins		$0.24	Modern deck
2x	Tormented Thoughts	Magic Origins		$0.24	Black uncommons
1x	Tormenting Voice	Dragons of Tarkir		$0.24	Niv
1x	Touch of Death	Fifth Edition		$0.24	Old cards
1x	Tranquil Cove	Core Set 2020		$0.24	Chulane
1x	Transmogrant Altar	The Brothers' War		$0.24	New phyrexia
1x	Trial of Solidarity	Amonkhet		$0.24	White uncommons
1x	Trial of Strength	Amonkhet		$0.24	Green uncommons
1x	Urza, Powerstone Prodigy	The Brothers' War		$0.24	April 2023
1x	Vampire Scrivener	Streets of New Capenna		$0.24	Vish Kal
1x	Vampires' Vengeance	Innistrad: Crimson Vow		$0.24	Baldurs gate uncommons
1x	Vampires' Vengeance	Innistrad: Crimson Vow		$0.24	New capenna, strixhaven rares uncommons
3x	Vampires' Vengeance	Innistrad: Crimson Vow		$0.24	Red uncommons
1x	Venerable Lammasu	Khans of Tarkir		$0.24	White uncommons
3x	Vengeful Rebel	Aether Revolt		$0.24	Black uncommons
1x	Vineshaper Mystic	Ixalan		$0.24	Green uncommons
1x	Visionary Augmenter	Kaladesh		$0.24	White uncommons
1x	Vizier of Deferment	Amonkhet		$0.24	White uncommons
1x	Voidwing Hybrid	Phyrexia: All Will Be One		$0.24	April 2023
2x	Volcanic Geyser	Archenemy: Nicol Bolas		$0.24	Red uncommons
8x	Wanted Scoundrels	Ixalan		$0.24	Black uncommons
1x	War-Name Aspirant	Khans of Tarkir		$0.24	Red uncommons
7x	White Dragon	Adventures in the Forgotten Realms		$0.24	Foil rares and uncommons
1x	White Dragon	Adventures in the Forgotten Realms		$0.24	White uncommons
1x	Wild Shape	Adventures in the Forgotten Realms		$0.24	April 2023
1x	Wild Shape	Adventures in the Forgotten Realms		$0.24	Green uncommons
2x	Wildgrowth Walker	Ixalan		$0.24	Green uncommons
2x	Wilson, Refined Grizzly	Commander Legends: Battle for Baldur's Gate		$0.24	Baldurs gate
3x	Wilson, Refined Grizzly	Commander Legends: Battle for Baldur's Gate		$0.24	Baldurs gate uncommons
6x	Abandon Reason	Eldritch Moon		$0.25	Red uncommons
1x	Abiding Grace	Modern Horizons 2		$0.25	Baldurs gate uncommons
1x	Abiding Grace	Modern Horizons 2		$0.25	Osgir others
1x	Abrade	Innistrad: Crimson Vow		$0.25	Red uncommons
2x	Abzan Beastmaster	Fate Reforged		$0.25	Green uncommons
1x	Accursed Horde	Hour of Devastation		$0.25	Black uncommons
1x	Acolyte's Reward	Born of the Gods		$0.25	White uncommons
1x	Aeronaut Admiral	Aether Revolt		$0.25	White uncommons
2x	Agonizing Remorse	Strixhaven Mystical Archive		$0.25	Black uncommons
2x	Ahn-Crop Champion	Amonkhet		$0.25	Multicolor uncommons
1x	Ahn-Crop Crasher	Amonkhet		$0.25	Baldurs gate uncommons
6x	Ahn-Crop Crasher	Amonkhet		$0.25	Red uncommons
1x	Akroan Hoplite	Conspiracy: Take the Crown		$0.25	Multicolor uncommons
1x	Alchemist's Vial	Magic Origins		$0.25	Osgir others
1x	Ali Baba	Fourth Edition		$0.25	Old cards
1x	Ambition's Cost	Kaldheim Commander		$0.25	B/W Commander randoms
1x	Ambulatory Edifice	Phyrexia: All Will Be One	Foil	$0.25	April 2023
1x	Angel of Flight Alabaster	Crimson Vow Commander		$0.25	Millicent
2x	Angel of the God-Pharaoh	Hour of Devastation		$0.25	White uncommons
2x	Angel's Tomb	Magic Origins		$0.25	Colorless uncommmons
1x	Angelic Ascension	Core Set 2021		$0.25	White uncommons
1x	Angelic Exaltation	Ravnica Allegiance		$0.25	White uncommons
1x	Angelic Quartermaster	Innistrad: Crimson Vow	Foil	$0.25	April 2023
2x	Annex Sentry	Phyrexia: All Will Be One		$0.25	April 2023
1x	Annihilate	Commander 2013		$0.25	Black uncommons
1x	Antagonize	Streets of New Capenna	Foil	$0.25	B/W Commander randoms
2x	Appeal // Authority	Hour of Devastation		$0.25	Multicolor uncommons
3x	Arashin War Beast	Fate Reforged		$0.25	Green uncommons
1x	Arc Lightning	Khans of Tarkir		$0.25	Red uncommons
1x	Arcbound Shikari	Modern Horizons 2		$0.25	Baldurs gate uncommons
1x	Arcbound Shikari	Modern Horizons 2		$0.25	Osgir others
1x	Archghoul of Thraben	Innistrad: Crimson Vow		$0.25	April 2023
1x	Archghoul of Thraben	Innistrad: Crimson Vow		$0.25	Grixis colors
1x	Archway Angel	Ravnica Allegiance		$0.25	White uncommons
1x	Arctic Aven	Magic 2013		$0.25	Blue uncommons
4x	Armed // Dangerous	Dragon's Maze		$0.25	Multicolor uncommons
1x	Armillary Sphere	Conflux		$0.25	Osgir
1x	Armorcraft Judge	Kaladesh		$0.25	Ezuri
1x	Armored Scrapgorger	Phyrexia: All Will Be One		$0.25	April 2023
1x	Arrest	Jumpstart 2022		$0.25	April 2023
1x	Arrows of Justice	Gatecrash		$0.25	Multicolor uncommons
2x	Ashiok's Adept	Born of the Gods		$0.25	Black uncommons
6x	Atzocan Archer	Ixalan		$0.25	Green uncommons
2x	Aven Sunstriker	Dragons of Tarkir		$0.25	White uncommons
1x	Bag of Holding	Adventures in the Forgotten Realms		$0.25	Colorless uncommmons
2x	Baleful Ammit	Amonkhet		$0.25	Black uncommons
1x	Bane Alley Broker	Gatecrash		$0.25	Multicolor uncommons
1x	Bankrupt in Blood	Ravnica Allegiance		$0.25	Black uncommons
1x	Barren Moor	Commander 2021		$0.25	Baldurs gate uncommons
2x	Barricade Breaker	Aether Revolt		$0.25	Colorless uncommmons
1x	Barrowin of Clan Undurr	Adventures in the Forgotten Realms		$0.25	Multicolor uncommons
1x	Base Camp	Zendikar Rising		$0.25	Zendikar
1x	Basilica Bell-Haunt	Ravnica Allegiance		$0.25	Multicolor uncommons
1x	Basri's Solidarity	Core Set 2021		$0.25	B/W Commander randoms
2x	Basri's Solidarity	Core Set 2021		$0.25	Baldurs gate uncommons
1x	Batterbone	Modern Horizons 2		$0.25	Baldurs gate uncommons
1x	Batterbone	Modern Horizons 2		$0.25	Osgir others
1x	Battle Brawler	Fate Reforged		$0.25	Black uncommons
3x	Battlefield Scavenger	Amonkhet		$0.25	Red uncommons
1x	Battleground Geist	Innistrad		$0.25	Blue uncommons
1x	Beanstalk Giant // Fertile Footsteps	Zendikar Rising Commander		$0.25	Green uncommons
1x	Belfry Spirit	RNA Guild Kit		$0.25	Baldurs gate uncommons
1x	Belfry Spirit	RNA Guild Kit		$0.25	Kamigawa and innistrad
1x	Belligerent Brontodon	Ixalan		$0.25	Multicolor uncommons
1x	Bellowing Saddlebrute	Khans of Tarkir		$0.25	Black uncommons
1x	Bile Blight	Born of the Gods		$0.25	Black uncommons
1x	Biogenic Upgrade	Ravnica Allegiance		$0.25	Green uncommons
4x	Bishop of the Bloodstained	Ixalan		$0.25	Black uncommons
1x	Black Dragon	Adventures in the Forgotten Realms		$0.25	Black uncommons
1x	Black Oak of Odunos	Born of the Gods		$0.25	Black uncommons
1x	Blackbloom Rogue //  // Blackbloom Bog	Zendikar Rising		$0.25	Baldurs gate uncommons
1x	Blackbloom Rogue //  // Blackbloom Bog	Zendikar Rising		$0.25	Zendikar
1x	Blaze Commando	Dragon's Maze		$0.25	Multicolor uncommons
1x	Blessed Spirits	Magic Origins		$0.25	White uncommons
1x	Blightbelly Rat	Phyrexia: All Will Be One	Foil	$0.25	April 2023
1x	Blink of an Eye	Dominaria		$0.25	April 2023
1x	Blink of an Eye	Dominaria		$0.25	Niv
1x	Blood Pact	Innistrad: Midnight Hunt		$0.25	Baldurs gate uncommons
1x	Blood-Cursed Knight	Magic Origins		$0.25	Baldurs gate uncommons
1x	Blood-Cursed Knight	Magic Origins		$0.25	Vish Kal
1x	Bloodbond Vampire	Battle for Zendikar		$0.25	B/W Commander randoms
2x	Bloodfire Enforcers	Fate Reforged		$0.25	Red uncommons
1x	Bloodrage Brawler	Amonkhet		$0.25	Red uncommons
1x	Bloodtithe Harvester	Innistrad: Crimson Vow		$0.25	April 2023
2x	Bloodwater Entity	Hour of Devastation		$0.25	Foil rares and uncommons
1x	Bloodwater Entity	Hour of Devastation		$0.25	Multicolor uncommons
1x	Blossoming Calm	Modern Horizons 2		$0.25	B/W Commander randoms
1x	Blossoming Sands	Core Set 2020		$0.25	Chulane
1x	Bond of Discipline	War of the Spark		$0.25	Baldurs gate uncommons
1x	Bone Picker	Amonkhet		$0.25	B/W Commander randoms
1x	Bone Picker	Amonkhet		$0.25	Black uncommons
1x	Boros Keyrune	Gatecrash		$0.25	Colorless uncommmons
1x	Boros Locket	Commander 2021		$0.25	Osgir
1x	Brainstone	Modern Horizons 2		$0.25	Colorless uncommmons
1x	Brainstone	Modern Horizons 2		$0.25	Osgir
1x	Bramblecrush	Magic 2014		$0.25	Ezuri
1x	Brass Knuckles	Streets of New Capenna		$0.25	B/W Commander randoms
1x	Brass Knuckles	Streets of New Capenna		$0.25	Baldurs gate uncommons
2x	Breath of Dreams	Ice Age		$0.25	Old cards
1x	Brightmare	Jumpstart		$0.25	B/W Commander randoms
1x	Brightmare	Jumpstart		$0.25	Baldurs gate uncommons
1x	Brightmare	Jumpstart		$0.25	White uncommons
1x	Brushfire Elemental	Zendikar Rising		$0.25	Baldurs gate uncommons
1x	Brushfire Elemental	Zendikar Rising		$0.25	Zendikar
1x	Burn Away	Khans of Tarkir		$0.25	Red uncommons
1x	Burning Vengeance	Commander 2019		$0.25	April 2023
1x	Burning-Fist Minotaur	Hour of Devastation		$0.25	Foil rares and uncommons
1x	Burning-Fist Minotaur	Hour of Devastation		$0.25	Red uncommons
1x	Burnished Hart	Commander Legends		$0.25	Osgir others
1x	Bygone Bishop	Commander Legends: Battle for Baldur's Gate		$0.25	Millicent
1x	Cadira, Caller of the Small	Commander Legends: Battle for Baldur's Gate		$0.25	Baldurs gate
1x	Cadira, Caller of the Small	Commander Legends: Battle for Baldur's Gate		$0.25	Baldurs gate uncommons
1x	Call of the Nightwing	Gatecrash		$0.25	Multicolor uncommons
1x	Call the Bloodline	Shadows over Innistrad		$0.25	Baldurs gate
1x	Call the Bloodline	Shadows over Innistrad		$0.25	Baldurs gate uncommons
1x	Call to the Feast	Ixalan		$0.25	Multicolor uncommons
1x	Call to the Feast	Ixalan		$0.25	Vish Kal
1x	Call to the Void	Commander Legends: Battle for Baldur's Gate		$0.25	Baldurs gate
2x	Call to the Void	Commander Legends: Battle for Baldur's Gate		$0.25	Baldurs gate rares
1x	Campfire	Commander Legends: Battle for Baldur's Gate		$0.25	Baldurs gate
1x	Carapace	Fifth Edition		$0.25	Old cards
1x	Carrion Grub	Core Set 2021		$0.25	B/W Commander randoms
1x	Carrion Grub	Core Set 2021		$0.25	Baldurs gate uncommons
1x	Centaur Chieftain	Eternal Masters		$0.25	Green uncommons
1x	Chandra's Defeat	Hour of Devastation		$0.25	Red uncommons
1x	Chandra's Spitfire	Core Set 2020		$0.25	April 2023
1x	Chandra's Triumph	War of the Spark		$0.25	Baldurs gate uncommons
1x	Channel Harm	Fate Reforged		$0.25	Foil rares and uncommons
2x	Channel Harm	Fate Reforged		$0.25	White uncommons
1x	Chaplain of Alms //  // Chapel Shieldgeist	Innistrad: Midnight Hunt		$0.25	Baldurs gate uncommons
1x	Chaplain of Alms //  // Chapel Shieldgeist	Innistrad: Midnight Hunt		$0.25	Kamigawa and innistrad
1x	Chemister's Insight	Commander 2019		$0.25	April 2023
1x	Childhood Horror	Odyssey		$0.25	Andy's new cards
2x	Chub Toad	Ice Age		$0.25	Old cards
1x	Circle of Elders	Dragons of Tarkir		$0.25	Green uncommons
1x	Circuit Mender	Kamigawa: Neon Dynasty		$0.25	Baldurs gate uncommons
1x	Circuit Mender	Kamigawa: Neon Dynasty		$0.25	Kamigawa and innistrad
1x	Clattering Augur	Modern Horizons 2		$0.25	Foil rares and uncommons
1x	Clattering Augur	Modern Horizons 2		$0.25	Grixis colors
1x	Cleaver Riot	Duel Decks: Merfolk vs. Goblins		$0.25	Red uncommons
1x	Cleric of Life's Bond	Zendikar Rising		$0.25	Zendikar
1x	Cloister Gargoyle	Adventures in the Forgotten Realms		$0.25	White uncommons
1x	Cobra Trap	Commander 2015		$0.25	Ezuri
1x	Coiling Oracle	Commander 2015		$0.25	Chulane
2x	Collision // Colossus	Ravnica Allegiance		$0.25	Multicolor uncommons
1x	Combine Guildmage	Ravnica Allegiance		$0.25	Multicolor uncommons
1x	Commander's Sphere	Crimson Vow Commander		$0.25	Osgir
1x	Consecrate // Consume	Ravnica Allegiance		$0.25	Multicolor uncommons
1x	Consecrate // Consume	Ravnica Allegiance		$0.25	Vish Kal
1x	Consecrated by Blood	Magic Origins		$0.25	Black uncommons
2x	Consuming Fervor	Amonkhet		$0.25	Red uncommons
1x	Contraband Kingpin	Kaladesh		$0.25	Multicolor uncommons
1x	Corrupt	Magic 2011		$0.25	Black uncommons
2x	Crackdown Construct	Aether Revolt		$0.25	Colorless uncommmons
1x	Crackling Drake	Commander 2019		$0.25	April 2023
1x	Cradle Clearcutter	The Brothers' War		$0.25	April 2023
1x	Crawling Infestation	Innistrad: Crimson Vow		$0.25	April 2023
1x	Crawling Infestation	Innistrad: Crimson Vow		$0.25	Green uncommons
2x	Crook of Condemnation	Hour of Devastation		$0.25	Colorless uncommmons
1x	Crop Sigil	Eldritch Moon		$0.25	Green uncommons
1x	Crossroads Candleguide	Innistrad: Midnight Hunt	Foil	$0.25	Kamigawa and innistrad
2x	Cry of the Carnarium	Ravnica Allegiance		$0.25	Black uncommons
1x	Cryptic Serpent	Amonkhet		$0.25	Blue uncommons
1x	Cult Conscript	Dominaria United		$0.25	April 2023
1x	Cunning Breezedancer	Dragons of Tarkir		$0.25	Multicolor uncommons
1x	Dagger Caster	Ravnica Allegiance		$0.25	Red uncommons
1x	Dagger of the Worthy	Hour of Devastation		$0.25	Baldurs gate uncommons
3x	Dagger of the Worthy	Hour of Devastation		$0.25	Colorless uncommmons
1x	Dagger of the Worthy	Hour of Devastation		$0.25	Vish Kal
1x	Daredevil Dragster	Aether Revolt		$0.25	Colorless uncommmons
1x	Dead Drop	Khans of Tarkir		$0.25	Black uncommons
1x	Deadeye Harpooner	Aether Revolt		$0.25	White uncommons
2x	Deadly Wanderings	Dragons of Tarkir		$0.25	Black uncommons
1x	Death Watch	Visions		$0.25	Grixis colors
1x	Death-Priest of Myrkul	Adventures in the Forgotten Realms		$0.25	Black uncommons
1x	Deathless Ancient	Ixalan		$0.25	B/W Commander randoms
1x	Deathless Ancient	Ixalan		$0.25	Baldurs gate uncommons
1x	Decimator Beetle	Amonkhet		$0.25	Multicolor uncommons
1x	Decisive Denial	Strixhaven: School of Mages		$0.25	Baldurs gate uncommons
1x	Decisive Denial	Strixhaven: School of Mages		$0.25	New capenna, strixhaven rares uncommons
2x	Defiant Greatmaw	Amonkhet		$0.25	Green uncommons
1x	Demolition Stomper	Kaladesh		$0.25	Colorless uncommmons
3x	Depose // Deploy	Ravnica Allegiance		$0.25	Multicolor uncommons
3x	Desert Twister	Commander 2015		$0.25	Green uncommons
1x	Desert's Hold	Hour of Devastation		$0.25	White uncommons
1x	Desperate Ravings	Commander 2019		$0.25	April 2023
3x	Destined // Lead	Amonkhet		$0.25	Multicolor uncommons
1x	Devouring Tendrils	Strixhaven: School of Mages		$0.25	Baldurs gate uncommons
1x	Devouring Tendrils	Strixhaven: School of Mages		$0.25	New capenna, strixhaven rares uncommons
1x	Dimir Aqueduct	Commander Legends: Battle for Baldur's Gate		$0.25	Captain ngathrod
1x	Dimir Keyrune	Commander Legends: Battle for Baldur's Gate		$0.25	Captain ngathrod
3x	Dimir Keyrune	Gatecrash		$0.25	Colorless uncommmons
1x	Dimir Keyrune	Gatecrash		$0.25	Grixis colors
5x	Dinosaur Stampede	Ixalan		$0.25	Red uncommons
1x	Dinrova Horror	Gatecrash		$0.25	Captain ngathrod
2x	Dinrova Horror	Gatecrash		$0.25	Multicolor uncommons
1x	Dire Fleet Warmonger	Core Set 2021		$0.25	Multicolor uncommons
1x	District Guide	Guilds of Ravnica		$0.25	Chulane
1x	Divide by Zero	Strixhaven: School of Mages		$0.25	Baldurs gate uncommons
4x	Divide by Zero	Strixhaven: School of Mages		$0.25	Blue uncommons
1x	Divide by Zero	Strixhaven: School of Mages		$0.25	New capenna, strixhaven rares uncommons
1x	Doom Blade	Explorers of Ixalan		$0.25	Black uncommons
1x	Doomfall	Hour of Devastation		$0.25	Black uncommons
1x	Dormant Grove //  // Gnarled Grovestrider	Innistrad: Crimson Vow		$0.25	Baldurs gate uncommons
1x	Dormant Grove //  // Gnarled Grovestrider	Innistrad: Crimson Vow		$0.25	Green uncommons
1x	Draconic Muralists	Commander Legends: Battle for Baldur's Gate		$0.25	Baldurs gate
2x	Draconic Muralists	Commander Legends: Battle for Baldur's Gate		$0.25	Baldurs gate uncommons
1x	Dragon Egg	Core Set 2019		$0.25	Red uncommons
1x	Dragon's Eye Savants	Khans of Tarkir		$0.25	Blue uncommons
1x	Dragonspark Reactor	Kamigawa: Neon Dynasty		$0.25	Osgir
1x	Dragonwing Glider	Phyrexia: All Will Be One		$0.25	April 2023
1x	Dreadmalkin	War of the Spark		$0.25	Baldurs gate uncommons
4x	Dromoka Monument	Dragons of Tarkir		$0.25	Colorless uncommmons
1x	Durable Handicraft	Kaladesh		$0.25	Baldurs gate uncommons
1x	Durable Handicraft	Kaladesh		$0.25	Green uncommons
1x	Duress	Strixhaven Mystical Archive		$0.25	Black uncommons
1x	Dusk Feaster	Eldritch Moon		$0.25	Black uncommons
1x	Duskborne Skymarcher	Ixalan		$0.25	Baldurs gate uncommons
1x	Duskborne Skymarcher	Ixalan		$0.25	Vish Kal
1x	Duskborne Skymarcher	Ixalan		$0.25	White uncommons
1x	Dwarven Warriors	Revised Edition		$0.25	Old cards
1x	Dying Wish	Gatecrash		$0.25	Black uncommons
1x	Edifice of Authority	Amonkhet		$0.25	Colorless uncommmons
6x	Eliminate	Core Set 2021		$0.25	Black uncommons
1x	Elite Scaleguard	Commander Anthology Volume II		$0.25	Breena
2x	Elite Scaleguard	Fate Reforged		$0.25	White uncommons
1x	Elsewhere Flask	The Brothers' War Retro Artifacts		$0.25	April 2023
1x	Elusive Krasis	Gatecrash		$0.25	Ezuri
1x	Embalmer's Tools	Amonkhet		$0.25	Colorless uncommmons
3x	Encase in Ice	Dragons of Tarkir		$0.25	Blue uncommons
1x	Enigma Drake	Amonkhet		$0.25	Multicolor uncommons
1x	Essence Capture	Ravnica Allegiance		$0.25	Blue uncommons
1x	Eternal of Harsh Truths	Hour of Devastation		$0.25	Blue uncommons
1x	Eternal Taskmaster	War of the Spark		$0.25	B/W Commander randoms
1x	Eternal Taskmaster	War of the Spark		$0.25	Black uncommons
1x	Ethersworn Sphinx	Modern Horizons 2		$0.25	Multicolor uncommons
1x	Evaporate	Homelands		$0.25	Old cards
1x	Everflame Eidolon	Born of the Gods		$0.25	Red uncommons
1x	Evolving Door	Streets of New Capenna		$0.25	B/W Commander randoms
1x	Evolving Door	Streets of New Capenna		$0.25	Baldurs gate rares
1x	Evolving Wilds	Conspiracy: Take the Crown		$0.25	Zaxara
1x	Evolving Wilds	Magic Origins		$0.25	Vish Kal
1x	Exemplar of Strength	Amonkhet		$0.25	Green uncommons
1x	Extract from Darkness	Commander Legends: Battle for Baldur's Gate		$0.25	Captain ngathrod
2x	Eyeblight Massacre	Magic Origins		$0.25	Black uncommons
1x	Eyes Everywhere	Ravnica Allegiance		$0.25	Blue uncommons
1x	Fact or Fiction	The List		$0.25	Niv
1x	Fae Offering	Modern Horizons 2		$0.25	Green uncommons
1x	Faerie Vandal	Throne of Eldraine		$0.25	Blue uncommons
1x	Faith of the Devoted	Amonkhet		$0.25	Black uncommons
1x	Faith Unbroken	Eldritch Moon		$0.25	White uncommons
1x	Farideh, Devil's Chosen	Adventures in the Forgotten Realms		$0.25	April 2023
4x	Farideh, Devil's Chosen	Adventures in the Forgotten Realms		$0.25	Foil rares and uncommons
2x	Farideh, Devil's Chosen	Adventures in the Forgotten Realms		$0.25	Multicolor uncommons
1x	Farm // Market	Commander 2019		$0.25	April 2023
1x	Fervent Denial	Commander 2019		$0.25	April 2023
1x	Feywild Trickster	Adventures in the Forgotten Realms		$0.25	Blue uncommons
1x	Fiery Cannonade	Ixalan		$0.25	Red uncommons
1x	Fireblade Artist	Ravnica Allegiance		$0.25	Foil rares and uncommons
1x	Flame Rift	Modern Horizons 2		$0.25	Red uncommons
1x	Flameblade Adept	Jumpstart 2022		$0.25	April 2023
1x	Flow of Knowledge	The Brothers' War		$0.25	April 2023
1x	Flower // Flourish	Guilds of Ravnica		$0.25	Multicolor uncommons
2x	Fly	Adventures in the Forgotten Realms		$0.25	April 2023
1x	Fly	Adventures in the Forgotten Realms		$0.25	Grixis colors
3x	Forbidding Spirit	Ravnica Allegiance		$0.25	White uncommons
3x	Fortune's Favor	Eldritch Moon		$0.25	Blue uncommons
1x	Foundry Inspector	Commander Legends		$0.25	Osgir
2x	Frenzied Tilling	Gatecrash		$0.25	Multicolor uncommons
2x	Friendly Fire	Fate Reforged		$0.25	Red uncommons
1x	Frilled Mystic	Ravnica Allegiance		$0.25	Chulane
1x	Frilled Mystic	Ravnica Allegiance		$0.25	Multicolor uncommons
1x	Fungal Rebirth	Core Set 2021		$0.25	Green uncommons
1x	Galloping Lizrog	Ravnica Allegiance		$0.25	Multicolor uncommons
3x	Gate Colossus	Ravnica Allegiance		$0.25	Colorless uncommmons
1x	Gateway Sneak	Ravnica Allegiance		$0.25	Blue uncommons
4x	Gearshift Ace	Kaladesh		$0.25	Foil rares and uncommons
1x	Getaway Car	Streets of New Capenna		$0.25	Baldurs gate rares
1x	Getaway Car	Streets of New Capenna		$0.25	New capenna, strixhaven rares uncommons
1x	Ghost Lantern // Bind Spirit	Commander Legends: Battle for Baldur's Gate		$0.25	Baldurs gate uncommons
1x	Ghoulish Procession	Innistrad: Midnight Hunt		$0.25	Baldurs gate rares
1x	Ghoulish Procession	Innistrad: Midnight Hunt		$0.25	Kamigawa and innistrad
1x	Giant Cindermaw	The Brothers' War		$0.25	April 2023
2x	Gideon's Defeat	Hour of Devastation		$0.25	White uncommons
1x	Gift of Orzhova	Gatecrash		$0.25	Vish Kal
1x	Give // Take	Dragon's Maze		$0.25	Ezuri
1x	Give // Take	Dragon's Maze		$0.25	Multicolor uncommons
1x	Glorifier of Dusk	Ixalan		$0.25	White uncommons
2x	Gnawing Zombie	Magic 2014		$0.25	Black uncommons
1x	Go-Shintai of Ancient Wars	Kamigawa: Neon Dynasty		$0.25	Baldurs gate uncommons
